time,btcopen,btc,ethopen,eth,solopen,sol,dogeopen,doge,aaveopen,aave,linkopen,link,ltcopen,ltc,shibopen,shib
2021-09-05 03:00:00,50155.0,BTC,3892.9,ETH,142.6675,SOL,0.3019215,DOGE,401.88,AAVE,30.0505,LINK,217.025,LTC,7.43e-06,SHIB
2021-09-05 04:00:00,49709.0,BTC,3846.9,ETH,140.65,SOL,0.298138,DOGE,397.07,AAVE,29.6075,LINK,213.315,LTC,7.34e-06,SHIB
2021-09-05 05:00:00,49878.0,BTC,3873.8,ETH,141.1475,SOL,0.299744,DOGE,400.24,AAVE,30.034,LINK,214.445,LTC,7.38e-06,SHIB
2021-09-05 06:00:00,49728.0,BTC,3863.9,ETH,139.3,SOL,0.298626,DOGE,399.0,AAVE,30.0205,LINK,212.78,LTC,7.37e-06,SHIB
2021-09-05 07:00:00,49910.0,BTC,3877.7,ETH,139.86,SOL,0.29932,DOGE,404.06,AAVE,30.172,LINK,214.42,LTC,7.33e-06,SHIB
2021-09-05 08:00:00,49904.0,BTC,3873.0,ETH,139.01,SOL,0.298971,DOGE,412.43,AAVE,30.182,LINK,214.665,LTC,7.35e-06,SHIB
2021-09-05 09:00:00,50217.0,BTC,3920.2,ETH,140.9975,SOL,0.301698,DOGE,419.55,AAVE,30.4735,LINK,218.265,LTC,7.41e-06,SHIB
2021-09-05 10:00:00,50190.0,BTC,3930.6,ETH,141.0925,SOL,0.3003925,DOGE,421.76,AAVE,30.4005,LINK,217.58,LTC,7.4e-06,SHIB
2021-09-05 11:00:00,50061.0,BTC,3922.1,ETH,140.2375,SOL,0.2998715,DOGE,420.28,AAVE,30.303,LINK,216.05,LTC,7.37e-06,SHIB
2021-09-05 12:00:00,50258.0,BTC,3926.5,ETH,140.425,SOL,0.3013945,DOGE,420.99,AAVE,30.393,LINK,217.825,LTC,7.37e-06,SHIB
2021-09-05 13:00:00,50166.0,BTC,3933.4,ETH,139.845,SOL,0.302353,DOGE,424.69,AAVE,30.886,LINK,221.62,LTC,7.38e-06,SHIB
2021-09-05 14:00:00,50238.0,BTC,3930.6,ETH,138.0775,SOL,0.3043625,DOGE,421.09,AAVE,30.775,LINK,225.76,LTC,7.41e-06,SHIB
